dist_weak_fam,dist_strong_fam,dist_weak_nov,dist_strong_nov,quad_weak_fam,quad_strong_fam,quad_weak_nov,quad_strong_nov,dur_weak_fam,dur_strong_fam,dur_weak_nov,dur_strong_nov,day_fam,day_nov,subject,IPQ_nov,IPQ_fam,NQ_nov,NQ_fam,IPQ_pres_nov,IPQ_pres_fam,V26,V27,quad_me_nov,NQ_nov_min_fam,IPQ_pres_nov_min_fam,day2_dist_nov,V32,day1_dist,day2_dist,V35,da1_quad,day2_quad
27.71209178,22.1304214,18.62724531,16.37731077,0.357142857,0.4,0.571428571,0.6,15.86902,12.66435,16.82450875,16.41499167,1,2,1AR,25,5,82,39,14,8,,,0.207142857,43,6,-7.41897855,,24.92125659,17.50227804,,0.378571429,0.585714286
16.5732319,3.605563981,27.05879917,6.4470937,0.571428571,0.9,0.285714286,0.9,11.10840125,9.204957778,11.4933,9.814016667,2,1,2AR,9,7,74,38,5,7,,,-0.142857143,36,-2,,,16.75294644,10.08939794,,0.592857143,0.735714286
25.07314027,26.5677041,13.9522093,12.56724214,0.357142857,0.4,0.714285714,0.7,13.00267,10.9885925,10.543241,9.025155714,1,2,3AR,7,-20,83,41,7,-5,,,0.328571429,42,12,-12.56069647,,25.82042219,13.25972572,,0.378571429,0.707142857
24.14808036,29.28100551,28.55489015,22.39616749,0.357142857,0.3,0.285714286,0.4,13.911588,12.20696667,11.740075,13.715625,2,1,4AR,12,9,61,49,10,6,,,0.014285715,12,4,,,25.47552882,26.71454294,,0.342857143,0.328571429
23.95737807,19.76805465,22.88345689,20.43064305,0.357142857,0.4,0.428571429,0.5,15.747692,11.67435333,13.18214333,14.148618,1,2,5AR,0,3,66,52,2,4,,,0.085714286,14,-2,-0.20566639,,21.86271636,21.65704997,,0.378571429,0.464285715
31.29030422,29.83213401,28.90283782,28.2041799,0.142857143,0.1,0.214285714,0.3,17.77816,10.8178,13.398,17.55716667,2,1,6AR,-29,-33,62,55,-15,-12,,,0.135714286,7,-3,,,28.55350886,30.56121912,,0.257142857,0.121428572
26.95314873,13.22854381,20.52689064,18.88105677,0.285714286,0.6,0.571428571,0.5,17.744925,16.81726667,16.07404571,14.00906,1,2,7AR,-6,1,83,47,-1,5,,,0.092857143,36,-6,-0.386872565,,20.09084627,19.70397371,,0.442857143,0.535714286
20.99531999,16.1493721,28.08226936,26.82690155,0.285714286,0.7,0.214285714,0.5,15.371075,13.8436,23.61945667,11.617375,2,1,8AR,-15,-20,50,37,-2,-9,,,-0.135714286,13,7,,,27.45458546,18.57234605,,0.357142857,0.492857143
15.27143843,5.7052307,13.50471096,7.287468525,0.785714286,0.9,0.714285714,0.8,9.218693,8.833108889,9.441422,9.0129825,1,2,9AR,30,25,70,37,14,8,,,-0.085714286,33,6,-0.092244822,,10.48833457,10.39608974,,0.842857143,0.757142857
19.93480977,17.0027984,21.39619275,16.14337069,0.5,0.5,0.357142857,0.6,11.48842857,11.198738,13.2765,13.27128333,2,1,10AR,-9,-6,66,34,-5,-4,,,-0.021428572,32,-1,,,18.76978172,18.46880409,,0.478571429,0.5
21.58641761,26.84775979,21.88002389,11.09170456,0.428571429,0.3,0.5,0.8,16.12144,21.76566667,13.87542571,9.6832525,1,2,11AR,-6,-10,71,58,4,0,,,0.285714286,13,4,-7.731224475,,24.2170887,16.48586423,,0.364285715,0.65
27.25957092,17.36439203,28.0820894,22.96021603,0.285714286,0.6,0.214285714,0.5,7.980175,11.93991667,8.604093333,13.036158,2,1,12AR,6,-20,74,43,7,-6,,,-0.085714286,31,13,,,25.52115272,22.31198148,,0.357142857,0.442857143
28.20407936,26.65315357,19.69054735,10.49772873,0.214285714,0.4,0.571428571,0.7,20.561,15.47626667,12.92166714,11.26914857,1,2,13AR,10,-6,60,57,5,3,,,0.328571429,3,2,-12.33447843,,27.42861647,15.09413804,,0.307142857,0.635714286
16.41192743,10.62073396,21.53818818,11.00579553,0.714285714,0.8,0.428571429,0.9,14.51011,13.96299714,17.02793667,12.95333556,2,1,14AR,8,-8,59,50,7,3,,,-0.092857143,9,4,,,16.27199186,13.5163307,,0.664285715,0.757142857
31.75454523,23.05949267,18.83699948,20.6436544,0.214285714,0.5,0.5,0.4,16.48456667,13.52747,13.66558714,15.3326,1,2,15AR,3,-15,54,46,6,5,,,0.092857143,8,1,-7.66669201,,27.40701895,19.74032694,,0.357142857,0.45
29.11372213,19.26764824,24.35959195,25.8776779,0.214285714,0.5,0.357142857,0.4,12.2297,10.91067,11.2698,11.961195,2,1,16AR,16,27,75,61,14,10,,,0.021428572,14,4,,,25.11863493,24.19068519,,0.378571429,0.357142857
28.13434795,27.56280934,27.18184734,23.7050341,0.285714286,0.4,0.142857143,0.4,19.5092,19.1649,18.61215,13.45008,1,2,17AR,18,31,91,86,15,14,,,-0.071428572,5,1,-2.405137925,,27.84857865,25.44344072,,0.342857143,0.271428572
24.32993728,20.87207103,21.36247921,28.14068475,0.357142857,0.3,0.285714286,0.2,19.489714,15.2385,16.6039425,18.5549,2,1,18AR,-19,-21,34,42,-1,-6,,,-0.085714286,-8,5,,,24.75158198,22.60100416,,0.242857143,0.328571429
29.14478384,17.58561472,31.186266,21.53490747,0.153846154,0.5,0.214285714,0.4,14.677735,15.34404,16.93373333,18.5549,1,2,19AR,7,5,77,52,2,3,,,-0.01978022,25,-1,2.995387455,,23.36519928,26.36058674,,0.326923077,0.307142857
26.05678199,27.09170013,24.92304675,21.62798304,0.214285714,0.1,0.285714286,0.3,19.28425,20.9943,21.0249475,26.194005,2,1,20AR,20,11,80,63,11,10,,,0.135714286,17,1,,,23.2755149,26.57424106,,0.292857143,0.157142857
11.37708031,1.778407238,8.898545155,7.631082116,0.714285714,1,0.857142857,0.8,12.87633,8.400482,12.43521083,10.78214375,2,1,2ZR,-10,-10,53,36,1,4,,,-0.028571428,17,-3,,,8.264813636,6.577743774,,0.828571429,0.857142857
24.83648126,27.93509335,33.35714119,14.92355681,0.214285714,0.4,0.142857143,0.6,17.26360667,14.602075,15.8962,11.10866167,1,2,3ZR,11,10,92,48,8,6,,,0.064285715,44,2,-2.245438305,,26.38578731,24.140349,,0.307142857,0.371428572
28.9617067,27.24950497,28.45673747,16.35221221,0.285714286,0.2,0.357142857,0.7,11.81315,8.83175,14.031414,12.0258,2,1,4ZR,10,18,93,39,7,10,,,0.285714286,54,-3,,,22.40447484,28.10560584,,0.528571429,0.242857143
13.36707315,7.274808934,15.94802252,3.192104272,0.642857143,0.9,0.571428571,1,16.86907444,16.10096778,15.4137125,14.55299,1,2,5ZR,1,-1,62,50,4,6,,,0.014285714,12,-2,-0.750877646,,10.32094104,9.570063396,,0.771428572,0.785714286
9.652652991,4.369978828,11.41847514,3.301666494,0.857142857,1,0.714285714,1,14.64347167,11.463045,17.398185,16.08237,2,1,6ZR,23,28,84,60,12,14,,,-0.071428572,24,-2,,,7.360070817,7.01131591,,0.857142857,0.928571429
23.72200436,20.79431905,24.20719856,8.360400204,0.357142857,0.5,0.285714286,0.9,13.386125,14.46084,11.405425,14.34094444,1,2,7ZR,6,5,59,58,8,6,,,0.164285715,1,2,-5.974362323,,22.25816171,16.28379938,,0.428571429,0.592857143
10.53623462,2.494084573,15.20041234,12.54572406,0.785714286,1,0.571428571,0.7,11.38850909,11.13561,14.3703325,12.70161429,2,1,8ZR,-16,-13,73,60,1,2,,,-0.257142858,13,-1,,,13.8730682,6.515159597,,0.635714286,0.892857143
24.85888701,9.121311528,24.31204956,20.23068572,0.357142857,0.8,0.428571429,0.5,15.700146,16.39110625,12.07702333,10.6115,2,1,9ZR,-11,-17,50,53,-5,-3,,,-0.114285714,-3,-2,,,22.27136764,16.99009927,,0.464285715,0.578571429
28.12243377,25.79306181,20.73459542,25.17359511,0.285714286,0.1,0.642857143,0.3,17.49303333,,10.23078625,14.92358,1,2,10ZR,4,11,57,50,7,6,,,0.278571429,7,1,-4.003652525,,26.95774779,22.95409527,,0.192857143,0.471428572
19.19315493,15.13704065,16.89293774,20.56090235,0.285714286,0.6,0.571428571,0.4,18.9538,19.341066,15.69038,14.172575,1,2,12ZR,16,9,75,63,15,7,,,0.042857143,12,8,1.561822255,,17.16509779,18.72692005,,0.442857143,0.485714286
25.01843933,16.73348283,19.86296562,18.94007747,0.230769231,0.7,0.357142857,0.6,11.9413,12.64221429,13.83336,14.703145,2,1,13ZR,-8,-11,75,75,-3,-2,,,0.013186813,0,-1,,,19.40152155,20.87596108,,0.478571429,0.465384616
29.89509665,11.67321204,8.652123234,3.573318726,0.153846154,0.7,0.785714286,1,18.70015,18.00368571,14.69909909,14.410961,1,2,14ZR,-4,-6,75,45,-5,-4,,,0.465934066,30,-1,-14.67143337,,20.78415435,6.11272098,,0.426923077,0.892857143
9.085920883,3.033579211,14.49001685,5.789805444,0.785714286,1,0.642857143,0.9,9.276923636,8.90393,11.89484889,10.93700333,2,1,15ZR,2,3,73,65,5,6,,,-0.121428572,8,-1,,,10.13991115,6.059750047,,0.771428572,0.892857143
30.40953067,17.12362645,20.77934295,13.46658856,0.285714286,0.4,0.357142857,0.7,14.09076667,13.418755,16.965,13.14808571,1,2,17ZR,10,11,82,48,7,6,,,0.185714286,34,1,-6.643612805,,23.76657856,17.12296576,,0.342857143,0.528571429
34.02224095,20.38277777,24.02095391,21.62522217,0.142857143,0.2,0.357142857,0.6,17.998075,16.28615,12.652456,10.047386,1,2,18ZR,9,11,77,51,6,5,,,0.307142857,26,1,-4.37942132,,27.20250936,22.82308804,,0.171428572,0.478571429
26.65298773,10.72435641,28.42299266,17.58681546,0.285714286,0.8,0.285714286,0.6,19.29799667,16.1682875,25.005425,18.981618,1,2,20ZR,8,13,74,54,7,9,,,-0.1,20,-2,4.31623199,,18.68867207,23.00490406,,0.542857143,0.442857143